shapeid,district,population,0-2000,2000-3999,4000-5999,6000-7999,8000-9999,10000-14999,15000-19999,20000-24999,25000-29999,30000-39999,40000-59999,60000-79999,80000-99999,100000,median monthly,public,private flat,private,other,temporary
0,Central and Western,243266,5153,1797,3369,2790,2071,6305,5735,5827,4816,8226,11909,7569,5014,16476,17000,10.6,32.8,6.2,,50
0.1,Central and Western,243266,5153,1797,3369,2790,2071,6305,5735,5827,4816,8226,11909,7569,5014,16476,17000,10.6,32.8,6.2,,50
1,Eastern,555034,6624,2577,7425,9066,6408,18001,15709,15404,12498,21518,29466,15367,9216,17855,15000,9.2,31.3,5.6,42,30.9
2,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.1,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.2,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.3,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.4,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.5,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.6,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.7,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.8,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.9,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.1,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.11,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.12,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.13,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.14,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.15,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.16,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.17,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.18,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.19,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.2,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.21,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
2.22,Islands,156801,3033,976,2808,2195,1419,5484,4479,4635,4064,6774,8392,4082,2206,4488,15000,8.2,31.1,27.5,20.4,
3,Kowloon City,418732,5851,2386,5103,6727,5695,17323,14509,11739,9074,14817,18576,9599,6569,14441,15000,10.3,31.4,6.3,36.4,27.1
4,Kwai Tsing,520572,4682,2289,10073,9333,8959,24209,20142,17382,14549,23258,22854,8722,3507,4841,13500,9.3,28.9,5.4,39.2,32.1
4.1,Kwai Tsing,520572,4682,2289,10073,9333,8959,24209,20142,17382,14549,23258,22854,8722,3507,4841,13500,9.3,28.9,5.4,39.2,32.1
5,Kwun Tong,648541,6354,2822,9930,17490,12645,33514,27298,21716,16991,26880,28871,11617,5101,5258,13500,10.7,29.1,4.8,34.4,39.5
6,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
