"shapeid","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
"0.0","102","HKG","Hong Kong","1","Central and Western","HK.CW","0","NULL","District","District","NULL","NULL"
"0.1","102","HKG","Hong Kong","1","Central and Western","HK.CW","0","NULL","District","District","NULL","NULL"
"1.0","102","HKG","Hong Kong","2","Eastern","HK.EA","0","NULL","District","District","NULL","NULL"
"2.0","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.1","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.2","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.3","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.4","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.5","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.6","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.7","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.8","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.9","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.10","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.11","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.12","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.13","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.14","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.15","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.16","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.17","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.18","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.19","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.20","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.21","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"2.22","102","HKG","Hong Kong","3","Islands","HK.IS","0","NULL","District","District","NULL","NULL"
"3.0","102","HKG","Hong Kong","4","Kowloon City","HK.KC","0","NULL","District","District","NULL","NULL"
